transaction_id,store_id,sku,sale_ts,quantity,unit_price
T20240125000001,S002,SKU00049,2024-01-25 10:30:00,2,9.87
T20240125000002,S001,SKU00007,2024-01-25 11:35:00,1,13.14
T20240125000003,S002, SKU00048 ,2024-01-25 17:48:00,1,23.03
T20240125000004,S002,SKU00050,2024-01-25 13:42:30,4,3.57
T20240125000005,S001,SKU00032,2024-01-25 20:22:00,1,13.37
T20240125000006,S002,SKU00027,2024-01-25 13:04:00,4,5.61
T20240125000007,S001,SKU00003,2024-01-25 08:55:00,2,18.19
T20240125000008,S002, SKU00033 ,2024-01-25 17:09:00,2,1.58
T20240125000009,S002,SKU00036,2024-01-25 09:23:30,1,2.84
T20240125000010,S002, SKU00025 ,2024-01-25 07:56:30,4,12.42
T20240125000011,S002,SKU00050,2024-01-25 16:43:00,1,23.47
T20240125000012,S001,SKU00024,2024-01-25 14:47:00,2,9.68
T20240125000013,S001,SKU00002,2024-01-25 14:41:00,2,18.96
T20240125000014,S002,sku00029,2024-01-25 09:37:00,1,13.4
T20240125000015,S002,SKU00015,2024-01-25 09:05:30,4,21.79
T20240125000016,S002,sku00006,2024-01-25 16:21:00,3,24.91
T20240125000017,S001, sku00040 ,2024-01-25 08:20:00,2,8.05
T20240125000018,S001,SKU00039,2024-01-25 18:37:00,2,10.78
T20240125000019,S001,SKU00012,2024-01-25 16:12:30,1,24.67
T20240125000020,S001,SKU00049,2024-01-25 19:57:00,1,3.68
T20240125000021,S002, SKU00031 ,2024-01-25 17:01:00,1,7.24
T20240125000022,S002,SKU00038,2024-01-25 10:42:30,1,8.22
T20240125000023,S002,SKU00007,2024-01-25 15:06:00,1,22.46
T20240125000024,S002, SKU00031 ,2024-01-25 14:43:00,4,23.35
T20240125000025,S001, SKU00004 ,2024-01-25 14:13:00,2,20.19
T20240125000026,S001,sku00025,2024-01-25 13:30:30,1,24.37
T20240125000027,S002,SKU00025,2024-01-25 13:20:30,3,2.56
T20240125000028,S001,SKU00015,2024-01-25 09:08:00,2,17.96
T20240125000029,S002,SKU00038,2024-01-25 09:16:00,1,16.21
T20240125000030,S001, sku00031 ,2024-01-25 10:56:00,4,24.98
T20240125000031,S002,SKU00006,2024-01-25 21:06:00,1,3.12
T20240125000032,S002,SKU00037,2024-01-25 09:48:00,1,17.55
T20240125000033,S001,UNKNOWNX,2024-01-25 15:46:00,1,10.29
T20240125000034,S001,SKU00001,2024-01-25 17:18:00,1,5.0
T20240125000035,S002,SKU00049,2024-01-25 14:34:00,1,9.19
T20240125000036,S002,SKU00017,2024-01-25 10:18:00,1,1.12
T20240125000037,S001,SKU00001,2024-01-25 11:12:00,1,22.82
T20240125000038,S002,SKU00029,2024-01-25 20:31:00,1,14.62
T20240125000039,S001, SKU00007 ,2024-01-25 11:49:00,2,9.17
T20240125000040,S002,SKU00037,2024-01-25 21:49:00,1,21.22
T20240125000041,S002, SKU00034 ,2024-01-25 21:42:00,2,12.39
T20240125000042,S002,SKU00041,2024-01-25 13:12:00,2,12.65
T20240125000043,S002,sku00006,2024-01-25 13:54:00,4,10.26
T20240125000044,S001,SKU00034,2024-01-25 07:24:30,2,11.65
T20240125000045,S002, SKU00040 ,2024-01-25 10:37:00,1,10.29
T20240125000046,S002,sku00007,2024-01-25 16:25:00,2,4.61
T20240125000047,S002,SKU00014,2024-01-25 16:58:30,1,12.06
T20240125000048,S002,SKU00017,2024-01-25 08:20:00,3,12.83
T20240125000049,S001,SKU00047,2024-01-25 18:39:30,1,9.0
T20240125000050,S002, SKU00012 ,2024-01-25 09:41:30,1,20.1
T20240125000051,S001,SKU00002,2024-01-25 07:08:00,1,24.17
T20240125000052,S001,SKU00019,2024-01-25 21:53:30,3,3.5
T20240125000053,S001,SKU00010,2024-01-25 15:42:00,2,5.74
T20240125000054,S001,sku00041,2024-01-25 09:51:00,1,17.42
T20240125000055,S002,SKU00008,2024-01-25 12:47:30,2,16.07
T20240125000056,S002,sku00028,2024-01-25 10:21:00,1,20.93
T20240125000057,S001,SKU00006,2024-01-25 13:20:30,2,20.02
T20240125000058,S002,sku00024,2024-01-25 19:06:00,4,12.66
T20240125000059,S002,SKU00035,2024-01-25 18:51:30,1,23.42
T20240125000060,S001,SKU00018,2024-01-25 21:11:00,1,23.56
